Dağıtılan Enerji (MWh),month,year,date,hour,o_clock,season,HourControl
1593.944215642219,1,2018,2018-01-01,00:00:00,0,Winter,Night
1513.9338867058163,1,2018,2018-01-01,01:00:00,1,Winter,Night
1402.612636518945,1,2018,2018-01-01,02:00:00,2,Winter,Night
1278.5272663896103,1,2018,2018-01-01,03:00:00,3,Winter,Night
1220.6977013708286,1,2018,2018-01-01,04:00:00,4,Winter,Night
1198.8801427451865,1,2018,2018-01-01,05:00:00,5,Winter,Night
1214.929891193107,1,2018,2018-01-01,06:00:00,6,Winter,Night
1265.4785289140914,1,2018,2018-01-01,07:00:00,7,Winter,Daytime
1273.4256559719358,1,2018,2018-01-01,08:00:00,8,Winter,Daytime
1371.6336813811022,1,2018,2018-01-01,09:00:00,9,Winter,Daytime
1521.434793766791,1,2018,2018-01-01,10:00:00,10,Winter,Daytime
1673.1668560067449,1,2018,2018-01-01,11:00:00,11,Winter,Daytime
1720.0136147965293,1,2018,2018-01-01,12:00:00,12,Winter,Daytime
1703.9878854375147,1,2018,2018-01-01,13:00:00,13,Winter,Daytime
1658.9532714765778,1,2018,2018-01-01,14:00:00,14,Winter,Daytime
1625.4116368134387,1,2018,2018-01-01,15:00:00,15,Winter,Daytime
1644.18754177162,1,2018,2018-01-01,16:00:00,16,Winter,Daytime
1763.7102590807488,1,2018,2018-01-01,17:00:00,17,Winter,Daytime
2016.5643139177969,1,2018,2018-01-01,18:00:00,18,Winter,Daytime
2092.206342448913,1,2018,2018-01-01,19:00:00,19,Winter,Night
2028.9455758069369,1,2018,2018-01-01,20:00:00,20,Winter,Night
1953.8457508550152,1,2018,2018-01-01,21:00:00,21,Winter,Night
1869.2648921449872,1,2018,2018-01-01,22:00:00,22,Winter,Night
1739.9730605326158,1,2018,2018-01-01,23:00:00,23,Winter,Night
1537.4118346990726,1,2018,2018-01-02,00:00:00,0,Winter,Night
1336.8360666701508,1,2018,2018-01-02,01:00:00,1,Winter,Night
1226.9701345892695,1,2018,2018-01-02,02:00:00,2,Winter,Night
1180.8140298616506,1,2018,2018-01-02,03:00:00,3,Winter,Night
1159.408556336046,1,2018,2018-01-02,04:00:00,4,Winter,Night
1183.4445561265798,1,2018,2018-01-02,05:00:00,5,Winter,Night
1305.998970307365,1,2018,2018-01-02,06:00:00,6,Winter,Night
1558.1149555421814,1,2018,2018-01-02,07:00:00,7,Winter,Daytime
1901.8153110935775,1,2018,2018-01-02,08:00:00,8,Winter,Daytime
2177.6120272416283,1,2018,2018-01-02,09:00:00,9,Winter,Daytime
2305.452402738685,1,2018,2018-01-02,10:00:00,10,Winter,Daytime
2368.5972545948894,1,2018,2018-01-02,11:00:00,11,Winter,Daytime
2256.569802476886,1,2018,2018-01-02,12:00:00,12,Winter,Daytime
2248.6473098442343,1,2018,2018-01-02,13:00:00,13,Winter,Daytime
2231.5632912260435,1,2018,2018-01-02,14:00:00,14,Winter,Daytime
2185.7685131842254,1,2018,2018-01-02,15:00:00,15,Winter,Daytime
2178.681960718779,1,2018,2018-01-02,16:00:00,16,Winter,Daytime
2213.733771342856,1,2018,2018-01-02,17:00:00,17,Winter,Daytime
2281.7247973983867,1,2018,2018-01-02,18:00:00,18,Winter,Daytime
2268.7456074566057,1,2018,2018-01-02,19:00:00,19,Winter,Night
2198.9992880717323,1,2018,2018-01-02,20:00:00,20,Winter,Night
2093.5377055357467,1,2018,2018-01-02,21:00:00,21,Winter,Night
1998.851478224678,1,2018,2018-01-02,22:00:00,22,Winter,Night
1855.395112550208,1,2018,2018-01-02,23:00:00,23,Winter,Night
1620.5154429030945,1,2018,2018-01-03,00:00:00,0,Winter,Night
1429.1035023224008,1,2018,2018-01-03,01:00:00,1,Winter,Night
1318.5194271613882,1,2018,2018-01-03,02:00:00,2,Winter,Night
1261.3827747518476,1,2018,2018-01-03,03:00:00,3,Winter,Night
1252.70517318599,1,2018,2018-01-03,04:00:00,4,Winter,Night
1260.040515391135,1,2018,2018-01-03,05:00:00,5,Winter,Night
1375.3498696930535,1,2018,2018-01-03,06:00:00,6,Winter,Night
1596.0166860072525,1,2018,2018-01-03,07:00:00,7,Winter,Daytime
1907.0441326981904,1,2018,2018-01-03,08:00:00,8,Winter,Daytime
2118.397511654058,1,2018,2018-01-03,09:00:00,9,Winter,Daytime
2260.7882702949105,1,2018,2018-01-03,10:00:00,10,Winter,Daytime
2329.68631868373,1,2018,2018-01-03,11:00:00,11,Winter,Daytime
2109.236035272624,1,2018,2018-01-03,12:00:00,12,Winter,Daytime
2274.4951054890994,1,2018,2018-01-03,13:00:00,13,Winter,Daytime
2294.647873685604,1,2018,2018-01-03,14:00:00,14,Winter,Daytime
2222.511373027908,1,2018,2018-01-03,15:00:00,15,Winter,Daytime
2219.2964736718905,1,2018,2018-01-03,16:00:00,16,Winter,Daytime
2236.9634113233246,1,2018,2018-01-03,17:00:00,17,Winter,Daytime
2327.1886684562305,1,2018,2018-01-03,18:00:00,18,Winter,Daytime
